               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12198,             0.28869,                   0,           0.0091637,            0.073263,          0.00071893,          0.00010016,              0.1148,             0.22148,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.11632,             0.28795,                   0,            0.010783,            0.085347,          0.00099063,          0.00014639,             0.11278,             0.21594,                   0,          0.00016997,          0.00016997,             0.09847
                   2,             0.11089,             0.28649,                   0,            0.026526,             0.21337,           0.0057954,          0.00086017,             0.11129,             0.21839,                   0,          0.00025979,          0.00025979,             0.09766
                   3,             0.10754,             0.27062,                   0,            0.055079,             0.32251,            0.022493,           0.0034483,             0.10782,             0.21177,                   0,          0.00034938,          0.00034938,            0.096849
                   4,             0.10441,             0.27214,                   0,            0.098292,             0.34554,            0.056071,           0.0088912,             0.10408,             0.20467,                   0,          0.00043861,          0.00043861,            0.096039
                   5,            0.099682,             0.26527,                   0,             0.16067,             0.36745,              0.1139,            0.019986,              0.1005,             0.19718,                   0,          0.00052739,          0.00052739,            0.095227
                   6,            0.095574,             0.26722,                   0,             0.20043,             0.42409,             0.15817,            0.028793,            0.096831,             0.19905,                   0,          0.00061561,          0.00061561,            0.094416
                   7,            0.091263,             0.26041,                   0,             0.21662,             0.53663,             0.19281,            0.035239,            0.092432,             0.20302,                   0,          0.00070316,          0.00070316,            0.093603
                   8,            0.087354,             0.26589,                   0,             0.24362,             0.59252,             0.22706,            0.043843,            0.088471,             0.20571,                   0,          0.00078995,          0.00078995,             0.09279
                   9,            0.081242,             0.26045,                   0,             0.32667,             0.60952,             0.31293,            0.065237,            0.084118,             0.20333,                   0,          0.00087586,          0.00087586,            0.091976
                  10,            0.076073,             0.26141,                   0,             0.41246,             0.58875,             0.37356,            0.085385,             0.08116,             0.21114,                   0,          0.00096081,          0.00096081,            0.091161
